viewCount,likeCount,dislikeCount,commentCount,subscriberCount,channelVideoCount,channelViewCount,PrevCommentCount,PrevDislikeCount,PrevLikeCount,PrevViewCount,Days,Hours_published,Age_Channel
2538846,107133,3248,8346,1.40E+07,1348,2504291435,11418,2444,182518,5524301,1,24,12
5524301,182518,2444,11418,1.40E+07,1348,2504291435,35123,11067,424167,12022194,1,24,12
4399655,163554,2950,13294,1.40E+07,1348,2504291435,12729,5069,94609,1977127,1,24,12
1977127,94609,5069,12729,1.40E+07,1348,2504291435,9733,2152,105491,2891666,1,24,12
2891666,105491,2152,9733,1.40E+07,1348,2504291435,8864,2023,128808,3517819,0,0,12
3517819,128808,2023,8864,1.40E+07,1348,2504291435,27557,6494,230660,6671728,0,0,12
6671728,230660,6494,27557,1.40E+07,1348,2504291435,33864,3982,278107,6245672,9,216,12
6245672,278107,3982,33864,1.40E+07,1348,2504291435,5937,2097,114897,3639764,3,72,12
3639764,114897,2097,5937,1.40E+07,1348,2504291435,38050,3313,137139,3995506,3,72,12
3995506,137139,3313,38050,1.40E+07,1348,2504291435,13320,5219,258487,8900002,4,96,12
3269614,140471,2447,14086,1.40E+07,1348,2504291435,9791,2473,111619,2304298,4,96,12
2304298,111619,2473,9791,1.40E+07,1348,2504291435,8930,3490,154618,4881415,1,24,12
4881415,154618,3490,8930,1.40E+07,1348,2504291435,15874,13505,175265,2923186,1,24,12
2923186,175265,13505,15874,1.40E+07,1348,2504291435,8735,3260,95920,2564838,4,96,12
2564838,95920,3260,8735,1.40E+07,1348,2504291435,7999,1987,96990,2572361,2,48,12
2572361,96990,1987,7999,1.40E+07,1348,2504291435,5507,1664,95744,2413882,1,24,12
2413882,95744,1664,5507,1.40E+07,1348,2504291435,9338,2660,137148,3421416,6,144,12
3421416,137148,2660,9338,1.40E+07,1348,2504291435,13955,2924,124270,3186690,8,192,12
3186690,124270,2924,13955,1.40E+07,1348,2504291435,9781,4166,120548,3008633,0,0,12
3008633,120548,4166,9781,1.40E+07,1348,2504291435,5372,1406,75015,1738296,5,120,12
1738296,75015,1406,5372,1.40E+07,1348,2504291435,13367,3334,141276,3900536,3,72,12
3900536,141276,3334,13367,1.40E+07,1348,2504291435,12858,5656,234276,6495898,1,24,12
6495898,234276,5656,12858,1.40E+07,1348,2504291435,9215,1513,143840,3559331,4,96,12
3559331,143840,1513,9215,1.40E+07,1348,2504291435,15660,3620,222840,5266781,2,48,12
5266781,222840,3620,15660,1.40E+07,1348,2504291435,4362,1287,67296,1682035,5,120,12
1682035,67296,1287,4362,1.40E+07,1348,2504291435,16536,2544,135036,3561156,1,24,12
3561156,135036,2544,16536,1.40E+07,1348,2504291435,13318,3550,185103,5190506,2,48,12
